TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ARX	ABCA9	-0.34585	34.51	-0.51	rgb(107,150,236)	1.6703	None
GATA2	ABCA9	0.98344	50.88	0.879	rgb(227, 49, 51)	1.9978	None
LMX1B	ABCA9	0.54209	44.34	0.339	rgb(221,152,153)	1.867	None
ARX	ABCC8	0.1881	26	0	rgb(217,217,217)	1.5001	None
GATA2	ABCC8	0.91722	50.65	0.649	rgb(224, 93, 94)	1.9932	None
LMX1A	ABCC8	0.59071	46.13	0.134	rgb(218,191,192)	1.9028	None
LMX1B	ABCC8	0.22515	27	0	rgb(217,217,217)	1.5201	None
GATA2	ABLIM2	0.90434	50.62	0.622	rgb(224, 98, 99)	1.9926	None
LMX1A	ABLIM2	0.40677	37.68	0.679	rgb(224, 87, 89)	1.7337	None
LMX1B	ABLIM2	0.63143	47.28	0.284	rgb(220,163,163)	1.9258	None
ARX	ACSL6	0.84866	50.51	0.51	rgb(223,120,121)	1.9904	None
GATA2	ACSL6	0.60487	46.37	0.366	rgb(221,147,148)	1.9076	None
LMX1A	ACSL6	0.38166	37.63	0.63	rgb(224, 97, 98)	1.7327	None
LMX1B	ACSL6	-0.47497	42.08	-0.48	rgb(113,154,235)	1.8218	None
ARX	ACTL6B	-0.78872	50.2	-0.42	rgb(125,161,233)	1.9842	None
LMX1A	ACTL6B	0.80281	50.33	0.538	rgb(223,114,115)	1.9868	None
LMX1B	ACTL6B	0.94403	50.71	0.709	rgb(225, 81, 83)	1.9944	None
ARX	ACTN3	0.37435	36.25	0.247	rgb(220,170,170)	1.7051	None
GATA2	ACTN3	-0.971	50.83	-0.83	rgb( 37,107,249)	1.9968	None
LMX1A	ACTN3	0.21727	28	0	rgb(217,217,217)	1.5401	None
LMX1B	ACTN3	0.12321	21	0	rgb(217,217,217)	1.4001	None
ARX	ADAMTSL1	0.44874	40.59	0.589	rgb(223,105,106)	1.792	None
LMX1A	ADAMTSL1	0.87641	50.56	0.558	rgb(223,110,112)	1.9914	None
LMX1B	ADAMTSL1	-0.83474	50.47	-0.75	rgb( 53,117,246)	1.9896	None
ARX	ADCY1	0.1881	26	0	rgb(217,217,217)	1.5001	None
GATA2	ADCY1	0.55465	43.55	0.553	rgb(223,111,113)	1.8512	None
LMX1B	ADCY1	0.71016	48.5	0.857	rgb(226, 53, 55)	1.9502	None
GATA2	ADCY2	0.79438	50.27	0.273	rgb(220,165,165)	1.9856	None
LMX1A	ADCY2	0.98637	50.85	0.847	rgb(226, 55, 57)	1.9972	None
LMX1B	ADCY2	-0.4627	40.32	-0.44	rgb(121,158,234)	1.7866	None
GATA2	AGAP11	0.30343	32	0	rgb(217,217,217)	1.6201	None
LMX1A	AGAP11	0.22515	27	0	rgb(217,217,217)	1.5201	None
LMX1B	AGAP11	0.12321	21	0	rgb(217,217,217)	1.4001	None
ARX	AKT3	-0.70781	48.48	-0.48	rgb(112,153,235)	1.9498	None
GATA2	AKT3	0.97889	50.86	0.856	rgb(226, 54, 55)	1.9974	None
LMX1A	AKT3	0.30343	32	0	rgb(217,217,217)	1.6201	None
LMX1B	AKT3	0.23296	29	0	rgb(217,217,217)	1.5601	None
ARX	ALAS2	-0.54973	43.44	-0.44	rgb(121,159,234)	1.849	None
LMX1A	ALAS2	0.035399	15	0	rgb(217,217,217)	1.2801	None
LMX1B	ALAS2	0.93656	50.69	0.692	rgb(225, 85, 86)	1.994	None
ARX	AMBP	0.17332	24	0	rgb(217,217,217)	1.4601	None
GATA2	AMBP	0.98249	50.83	0.828	rgb(226, 59, 61)	1.9968	None
LMX1A	AMBP	0.60062	45.4	0.4	rgb(221,141,141)	1.8882	None
LMX1B	AMBP	-0.44168	40.38	-0.38	rgb(134,166,232)	1.7878	None
GATA2	AMPD3	0.052045	17	0	rgb(217,217,217)	1.3201	None
LMX1A	AMPD3	0.10777	20	0	rgb(217,217,217)	1.3801	None
LMX1B	AMPD3	0.56477	45.25	0.251	rgb(220,169,170)	1.8852	None
GATA2	ANK2	0.88616	50.58	0.576	rgb(223,107,108)	1.9918	None
LMX1A	ANK2	0.71974	48.63	0.631	rgb(224, 97, 98)	1.9528	None
LMX1B	ANK2	0.035399	15	0	rgb(217,217,217)	1.2801	None
GATA2	ANKFN1	-0.56658	45.27	-0.27	rgb(158,181,227)	1.8856	None
LMX1A	ANKFN1	-0.64684	46.86	-0.86	rgb( 31,104,250)	1.9174	None
LMX1B	ANKFN1	0.28724	31	0	rgb(217,217,217)	1.6001	None
GATA2	ANKRD45	0.24796	30	0	rgb(217,217,217)	1.5801	None
LMX1A	ANKRD45	0.24796	30	0	rgb(217,217,217)	1.5801	None
LMX1B	ANKRD45	0.12321	21	0	rgb(217,217,217)	1.4001	None
