TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
NHLH1	ANK2	0.27869	32	0	rgb(217,217,217)	1.6201	None
SMAD9	ANK2	0.15832	24	0	rgb(217,217,217)	1.4601	None
NHLH1	AX747853	0.58633	45.62	0.619	rgb(224, 99,100)	1.8926	2,2
SMAD9	AX747853	0.23961	28	0	rgb(217,217,217)	1.5401	2,2
NHLH1	BAI2	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
SMAD9	BAI2	0.95147	50.73	0.73	rgb(225, 78, 79)	1.9948	2,2
NHLH1	BGN	0.72685	49.29	0.286	rgb(220,162,163)	1.966	None
SMAD9	BGN	0.82887	50.44	0.445	rgb(222,132,133)	1.989	None
NHLH1	BTBD11	0.26378	31	0	rgb(217,217,217)	1.6001	None
SMAD9	BTBD11	0.20355	27	0	rgb(217,217,217)	1.5201	None
NHLH1	C21orf58	-0.56551	44.23	-0.23	rgb(166,186,226)	1.8648	None
SMAD9	C21orf58	-0.41817	38.32	-0.32	rgb(148,175,229)	1.7465	None
NHLH1	C22orf42	0.73065	49.33	0.326	rgb(221,155,155)	1.9668	None
SMAD9	C22orf42	0.092482	18	0	rgb(217,217,217)	1.3401	None
NHLH1	C2CD4A	0.82887	50.44	0.436	rgb(222,134,135)	1.989	None
SMAD9	C2CD4A	0.58216	45.52	0.521	rgb(223,118,119)	1.8906	None
NHLH1	C2CD4B	0.83143	50.46	0.458	rgb(222,129,130)	1.9894	None
SMAD9	C2CD4B	0.69773	48.48	0.479	rgb(222,126,126)	1.9498	None
NHLH1	CACNA2D2	0.15832	24	0	rgb(217,217,217)	1.4601	None
SMAD9	CACNA2D2	0.027303	15	0	rgb(217,217,217)	1.2801	None
NHLH1	CALY	-0.82887	50.44	-0.44	rgb(120,158,234)	1.989	None
SMAD9	CALY	0.53717	44.27	0.266	rgb(220,166,167)	1.8656	None
NHLH1	CAMK2B	0.95799	50.79	0.792	rgb(226, 66, 67)	1.996	None
SMAD9	CAMK2B	0.96943	50.78	0.78	rgb(226, 68, 70)	1.9958	None
NHLH1	CBFA2T3	0.21045	26	0	rgb(217,217,217)	1.5001	None
SMAD9	CBFA2T3	0.93656	50.69	0.688	rgb(225, 86, 87)	1.994	None
NHLH1	CCDC40	0.10777	20	0	rgb(217,217,217)	1.3801	None
SMAD9	CCDC40	0.61322	45.67	0.674	rgb(224, 88, 90)	1.8936	None
NHLH1	CCDC78	0.20355	27	0	rgb(217,217,217)	1.5201	None
SMAD9	CCDC78	0.076869	18	0	rgb(217,217,217)	1.3401	None
NHLH1	CDK5R1	-0.57328	44.4	-0.4	rgb(131,165,232)	1.8682	None
SMAD9	CDK5R1	-0.49517	42.48	-0.48	rgb(114,154,235)	1.8298	None
NHLH1	CDKN1C	0.9278	50.67	0.667	rgb(224, 90, 91)	1.9936	None
SMAD9	CDKN1C	0.016605	14	0	rgb(217,217,217)	1.2601	None
NHLH1	CELF4	0.10029	19	0	rgb(217,217,217)	1.3601	None
SMAD9	CELF4	0.076869	18	0	rgb(217,217,217)	1.3401	None
NHLH1	CNGA4	-0.81908	50.4	-0.4	rgb(130,164,232)	1.9882	None
SMAD9	CNGA4	0.89938	50.65	0.646	rgb(224, 94, 95)	1.9932	None
NHLH1	CNTD2	0.11582	20	0	rgb(217,217,217)	1.3801	None
SMAD9	CNTD2	0.58092	45.49	0.487	rgb(222,124,125)	1.89	None
NHLH1	COL22A1	-0.74201	49.43	-0.43	rgb(125,161,233)	1.9688	None
SMAD9	COL22A1	0.45808	40.22	0.215	rgb(219,176,176)	1.7846	None
